Assessment,Module,Weight,Released,Due,Marking Deadline
S1 - Individual,TP,0.05,2022-02-09T00:00:00,2022-02-15T16:00:00,NaN
Exercise 1,S&N,0.04,NaN,2022-02-16T16:00:00,NaN
M1 - Group,TP,0.25,NaN,2022-02-22T00:00:00,NaN
Exercise 2,S&N,0.04,NaN,2022-03-02T16:00:00,NaN
S2 - Individual,TP,0.05,NaN,2022-03-08T00:00:00,NaN
M2 - Group,TP,0.30,NaN,2022-03-15T00:00:00,NaN
Exercise 3,S&N,0.04,NaN,2022-03-16T16:00:00,NaN
Exercise 4,S&N,0.04,NaN,2022-04-20T16:00:00,NaN
Exercise 4 (Dubai),S&N,0.04,NaN,2022-04-24T16:00:00,NaN
S3 - Individual,TP,0.05,NaN,2022-04-26T00:00:00,NaN
M3 - Group,TP,0.30,NaN,2022-05-03T00:00:00,NaN
Exercise 5,S&N,0.04,NaN,2022-05-04T16:00:00,NaN
Exam,S&N,0.8,NaN,NaN,NaN
Exam,AI2,0.8,NaN,NaN,NaN
Continuous Assessment,AI2,0.20,NaN,NaN,NaN
